Text|Rating|Votes|J/N
"If you spell Chuck Norris wrong on Google it doesn't say, ""Did you mean Chuck Norris?"" It simply replies, ""Run while you still have the chance."""|4.09|3710|j
Chuck Norris can unscramble an egg.|4.09|3422|j
Chuck Norris can hit you so hard your blood will bleed.|4.09|3368|j
Chuck Norris is the only man to ever defeat a brick wall in a game of tennis.|4.09|3230|j
Chuck Norris CAN find the end of a circle.|4.09|3223|j
Jack was nimble, Jack was quick, but Jack still couldn't dodge Chuck Norris' roundhouse kick.|4.09|2804|j
Chuck refers to himself in the fourth person.|4.09|2263|j
Big foot claims he saw Chuck Norris.|4.09|1537|j
Chuck Norris can lock you inside a motorcycle.|4.09|313|j
When Chuck Norris plays horse shoes the horse is still wearing them.|4.09|159|j
Chuck Norris once climbed Mt. Everest in 15 minutes, 14 of which he was building a snowman at the bottom.|4.08|3809|j
Chuck Norris can cut a knife with butter.|4.08|3367|j
The reason newborn babies cry is because they know they have just entered a world with Chuck Norris.|4.08|3129|j
Chuck Norris can delete the Recycling Bin.|4.08|2388|j
When Chuck Norris was born he drove his mom home from the hospital.|4.08|2126|j
Chuck can divide by zero.|4.08|1600|j
The Great Wall of China was originally created to keep Chuck Norris out. It failed miserably.|4.08|1109|j
Chuck Norris can draw a square with only 3 lines.|4.08|535|j
Chuck Norris once walked away from a fight with two broken ribs and a dislocated arm. He hasn't given them back yet...|4.08|381|j
Every Chuck Norris joke is a five star joke just because it says Chuck Norris.|4.07|4109|j
"On a high school math test, Chuck Norris put down ""Violence"" as every one of the answers. He got an A+ on the test because Chuck Norris solves all his problems with Violence."|4.07|3177|j
Fear of spiders is called arachnophobia, fear of tight spaces is called claustrophobia, and fear of Chuck Norris is just plain logic.|4.07|3166|j
Chuck Norris used to beat the shit out of his shadow because it was following to close. It now stands a safe 30 feet behind him.|4.07|2490|j
Superman owns a pair of Chuck Norris pajamas.|4.07|2476|j
What was going through the minds of all of Chuck Norris' victims before they died? His shoe.|4.07|2118|j
Chuck Norris does not hunt because the word hunting implies the possibility of failure. Chuck Norris goes killing.|4.07|2007|j
Chuck Norris can sit in the corner of a round room.|4.07|1614|j
When Chuck Norris looks in a mirror the mirror shatters, because not even glass is stupid enough to get in between Chuck Norris and Chuck Norris.|4.07|1560|j
If he wanted to, Chuck Norris could rob a bank. By phone.|4.06|2857|j
Chuck Norris can squeeze orange juice out of a lemon|4.06|2708|j
Chuck Norris can make a slinky go upstairs.|4.06|2458|j
Chuck Norris once had a heart attack; his heart lost.|4.06|1684|j
Chuck Norris doesn't worry about high gas prices. His vehicles run on fear.|4.06|1234|j
Chuck Norris can tie his shoes with his feet.|4.06|1141|j
Chuck Norris can run a 3-legged race by himself.|4.06|1140|j
In the early 70's Chuck Norris and Arnold Schwarzenegger got into a fight. With just one round house kick to the face, Arnold hasn't talked the same ever since|4.06|1089|j
There once was a street called Chuck Norris, but the name was changed for public safety because nobody crosses Chuck Norris and lives.|4.06|1036|j
Chuck Norris cheated on his English test............with a calculator.|4.06|839|j
Chuck Norris has the greatest Poker-Face of all time. He won the 1983 World Series of Poker, despite holding only a Joker, a Get out of Jail Free Monopoloy card, a 2 of clubs, 7 of spades and a green #4 card from the game UNO.|4.06|813|j
Chuck Norris sleeps with a night light. Not because Chuck Norris is afraid of the dark, but the dark is afraid of Chuck Norris|4.06|804|j
When the Tooth fairy comes to your house she takes your tooth and gives you money. When Chuck Norris comes to your house he breaks your tooth and takes your money.|4.06|702|j
Chuck Norris can ski up a mountain.|4.06|618|j
Chuck Norris is so fast that when he stops he waits for his shadow.|4.06|584|j
Chuck Norris narrates Morgan Freeman's life.|4.06|506|j
Ghosts are actually caused by Chuck Norris killing people faster than Death can process them.|4.06|475|j
While other children were playing in sand, Chuck was playing in concrete.|4.06|376|j
Chuck Norris makes fire by rubbing 2 ice cubes together.|4.06|373|j
When Chuck Norris plays dodgeball, the balls dodge him.|4.06|359|j
Chuck Norris stole the cookie from the cookie jar...and if you value your life, you'll let him eat in peace.|4.06|357|j
Chuck Norris can go right and left at the same time.|4.06|343|j
Chuck Norris can rub two pieces of fire together and make wood.|4.06|339|j
Chuck Norris once round-house kicked a salesman. Over the phone.|4.06|213|j
Chuck Norris wrecked his bicycle and skinned the sidewalk with his knee.|4.06|211|j
Chuck Norris can pull a hat out of a rabbit.|4.06|206|j
Chuck Norris can read your lips while standing behind you.|4.06|204|j
Chuck Norris can hear faster than the speed of sound.|4.06|200|j
Chuck Norris can hit a homerun with a toothpick|4.06|194|j
If you cut off Chuck Norris' arm it will grow back...and the arm you cut off will grow another Chuck Norris.|4.06|177|j
Chuck Norris had a pet rock.....He named it Earth.|4.06|167|j
Mistakes learn from Chuck Norris.|4.06|158|j
Chuck Norris has a stuntdouble for crying scenes.|4.06|144|j
Chuck Norris can steal free samples.|4.06|142|j
Chuck Norris can beat a black hole in tug of war.|4.06|126|j
Chuck Norris once went to a magic show. The magician asked for a volunteer for his disappearing act. Chuck Norris raised his hand and the magician disappeared.|4.06|126|j
"Chuck Norris can push open doors labelled ""PULL""."|4.06|126|j
Chuck Norris eats habanero peppers to cool down on a hot day.|4.06|106|j
Chuck Norris can breathe under water because water is to scared to invade his airspace.|4.06|97|j
Chunk Norris can rip a page out of facebook.|4.06|96|j
"When you enter Chuck Norris into a GPS it says ""behind you""."|4.06|89|j
Chuck Norris can erase permanent marker.|4.06|87|j
When Chuck Norris went to prison, the guard was only allowed to make one phone call.|4.06|84|j
"Chuck Norris was almost in the movie ""Mission Impossible"", but they would've had to change the name to ""Mission Accomplished.""."|4.06|72|j
Chuck Norris uses tear gas for air freshener.|4.06|67|j
A police officer once pulled over Chuck Norris. The police officer was lucky to leave with just a warning.|4.06|64|j
There are two types of people in this world: Chuck Norris and the rest.|4.06|63|j
Chuck Norris can copy and paste on a typewriter.|4.06|63|j
Chuck Norris can hit the bottom of a bottomless pit.|4.06|62|j
Chuck Norris has cows grilling his steaks for him.|4.06|62|j
Chuck Norris knows who anonymous is.|4.06|53|j
9-1-1 calls Chuck Norris for an Emergency.|4.06|52|j
When Chuck Norris throws a rock at night, it is known as a shooting star.|4.06|51|j
Chuck Norris doesnt age, he levels up.|4.06|51|j
Chuck Norris can beat his reflection at rock paper scissors.|4.06|47|j
There is no such thing as fearless. Everyone fears Chuck Norris.|4.06|31|j
Orion admires Chuck Norris' belt.|4.06|31|j
Chuck Norris has eyes in the back of YOUR head.|4.06|18|j
Chuck Norris keeps 45% of the worlds medical staff employed.|4.06|18|j
Jesus can walk on water, but Chuck Norris can swim through dry land.|4.05|2482|j
Kings buy Chuck Norris size beds.|4.05|583|j
Chuck Norris recorded the making of the first video camera.|4.05|582|j
Chuck Norris won the tour de france, on a stationary bike.|4.05|557|j
The last digit of pi is Chuck Norris. He is the end of all things.|4.05|268|j
Chuck Norris once robbed himself and doubled his profit.|4.05|255|j
Chuck Norris made a happy meal cry.|4.05|241|j
Chuck Norris found the last digit of pi.|4.05|225|j
Chuck Norris has inside jokes with complete strangers.|4.05|192|j
When life gives Chuck Norris lemons, he returns them for a refund.|4.05|138|j
Chuck Norris can clap with one hand.|4.05|121|j
Ghostbuster's call Chuck Norris.|4.05|111|j
Chuck Norris once asked government authorities if they wanted him to be another form of capital punishment.|4.05|105|j
Chuck Norris can create a rock so heavy that even he can't lift it. Then he lifts it just to show you who the hell Chuck Norris is.|4.05|102|j
Time waits for no man. Unless that man is Chuck Norris.|4.04|537|j
It takes Chuck Norris 20 minutes to watch 60 Minutes.|4.04|380|j
Scientists have estimated that the energy given off during the Big Bang is roughly equal to 1CNRhK (Chuck Norris Roundhouse Kick)|4.04|313|j
"When Chuck Norris left for college he looked to his father Nd said ""Youre the man of the house now""."|4.04|189|j
Chuck Norris was banned from skipping rocks after the tsunami in 2008.|4.04|163|j
Chuck Norris can give you THREE black eyes.|4.04|135|j
"Chuck Norris once forced a word to rhyme with ""orange.""."|4.04|129|j
Chuck Norris was born in a log cabin built by his own two hands.|4.04|117|j
Chuck Norris once ate an entire bottle of sleeping pills. They made him blink.|4.03|260|j
Chuck Norris can put out a fire with a gallon of gasoline.|4.02|2045|j
Chuck Norris has two speeds: Walk and Kill.|4.02|642|j
Chuck Norris once heard that nothing can kill him, so he tracked down nothing and killed it.|4.02|500|j
Cars look both ways before Chuck Norris crosses the street.|4.02|302|j
Using Chuck Norris in a war is a violation of human rights.|4.02|210|j
Scholars believe that the only thing capable of making Chuck Norris cry is a picture of himself crying. Such a picture does not exist.|4.02|133|j
In an average living room there are 1,242 objects Chuck Norris could use to kill you, including the room itself.|4.01|459|j
Chuck Norris once fought superman. The loser had to wear his underwear over his pants.|4.01|380|j
Faster than a speeding bullet ... more powerful than a locomotive ... able to leap tall buildings in a single bound... yes, these are some of Chuck Norris's warm-up exercises.|4.01|330|j
Chuck Norris never retreats, he just attacks in the opposite direction.|4.01|302|j
Chuck Norris was originally cast as the main character in 24, but was replaced by the producers when he managed to kill every terrorist and save the day in 12 minutes and 37 seconds.|4.01|276|j
Chuck Norris can send a text message using a rotary phone.|4.01|210|j
If Chuck Norris owned a GPS, it would be asking him for directions.|4.01|135|j
When Chuck Norris goes to donate blood, he declines the syringe, and instead requests a hand gun and a bucket.|4|640|j
Chuck Norris stepped in front of a speeding train. He was the only survivor.|4|363|j
Chuck Norris can draw a perfect circle. With a ruler.|4|344|j
When Chuck Norris does push-ups, he doesn't push himself up, he pushes the earth down.|4|317|j
When Steven Hawking saw Chuck Norris coming his way, he got up and ran for shelter.|4|132|j
"Chuck Norris can hit you so hard that he can actually alter your DNA. Decades from now your descendants will occasionally clutch their heads and yell ""What The Hell was That?"""|3.99|658|j
Chuck Norris appears in all star wars movies. He is the Force.|3.99|318|j
When Chuck Norris sends in his taxes, he sends blank forms and includes only a picture of himself, crouched and ready to attack. Chuck Norris has not had to pay taxes, ever.|3.99|303|j
The Bermuda Triangle used to be the Bermuda Square, until Chuck Norris Roundhouse kicked one of the corners off.|3.99|252|j
Chuck Norris can only punch you in the face once, because the second time you wont have a face.|3.99|161|j
If at first you don't succeed, you're not Chuck Norris.|3.99|121|j
"Jesus asks himself, ""What Would Chuck Norris Do?"""|3.98|487|j
When Chuck Norris crosses the steet the cars have to look both ways.|3.98|432|j
Chuck Norris once robbed a gun store with a knife.|3.98|253|j
"When Chuck Norris logs on to E-bay, Theres a special button for him that says ""take what you want""."|3.98|239|j
Chuck Norris can play the violin with a piano|3.98|205|j
D-Day was Chuck Norris's Boy Scout Eagle project.|3.98|132|j
Chuck Norris has brail on his boots so even blind people know when it's coming.|3.98|105|j
If you spell Chuck Norris in Scrabble, you win. Forever.|3.97|1242|j
"The opening scene of the movie ""Saving Private Ryan"" is loosely based on games of dodgeball Chuck Norris played in second grade."|3.97|502|j
Chuck Norris does not know where you live, but he knows where you will die.|3.97|272|j
Chuck Norris doesn't actually write books, the words assemble themselves out of fear.|3.97|201|j
Usain Bolt can run 44.72 km/h, Chuck Norris is the camera man running beside him.|3.97|175|j
"Chuck Norris once shot an enemy plane down with his finger by yelling, ""Bang!"""|3.96|908|j
Chuck Norris eats the core of an apple first.|3.96|372|j
Ghosts sit around campfire and tell Chuck Norris stories.|3.96|341|j
"Obama said, ""Yes we can."" Chuck Norris says, ""I already did.""."|3.96|256|j
Chuck Norris destroyed the periodic table, because he only recognizes the element of surprise.|3.95|1624|j
When Chuck Norris falls in water, Chuck Norris doesn't get wet. Water gets Chuck Norris.|3.95|281|j
Chuck Norris once punched a man in the soul.|3.95|175|j
The chief export of Chuck Norris is pain.|3.95|157|j
In fine print on the last page of the Guinness Book of World Records it notes that all world records are held by Chuck Norris, and those listed in the book are simply the closest anyone else has ever gotten.|3.95|101|j
The world did not have a tilt in its axis until Chuck Norris stubbed his toe on the North Pole.|3.94|251|j
Rocks trip on Chuck Norris.|3.94|153|j
Pinatas were made in an attempt to get Chuck Norris to stop kicking the people of Mexico. Sadly this backfired, as all it has resulted in is Chuck Norris now looking for candy after he kicks his victims.|3.93|336|j
As a kid, Chuck Norris made his dad go to his room.|3.92|577|j
When Chuck Norris drinks milk, his bones don't get stronger. The milk does.|3.92|242|j
On his birthday, Chuck Norris blows out his candles by blinking.|3.92|111|j
The following is a short list of things Chuck Norris cannot do: .|3.91|820|j
When Chuck Norris looks in the mirror nothing appears. There can never be a second Chuck Norris.|3.91|627|j
"When God said, ""Let there be light"", Chuck Norris said, ""say please."""|3.91|251|j
Chuck Norris can capitalize numbers.|3.91|220|j
In space Chuck Norris can hear you scream.|3.91|173|j
Chuck Norris can run you over with a parked car.|3.91|104|j
Someone once tried to tell Chuck Norris that roundhouse kicks aren't the best way to kick someone. This has been recorded by historians as the worst mistake anyone has ever made.|3.9|289|j
Chuck Norris looked into Medusa's eyes and Medusa exploded.|3.9|210|j
Chuck Norris grinds his coffee with his teeth and boils the water with his own rage.|3.9|184|j
Chuck Norris never fails, he tells success to come back when its ready for him.|3.89|169|j
With the rising cost of gasoline, Chuck Norris is beginning to wonder about his drinking habits.|3.89|149|j
The quickest way to a man's heart is with Chuck Norris' fist.|3.87|540|j
Chuck Norris once gave a man the Hiemlich Manuever. That man still holds the record for most bones broken.|3.87|455|j
Saddam Hussein hid in a hole because he heard they were sending in Chuck Norris|3.87|152|j
Chuck Norris can single-handedly surround his opponents.|3.87|108|j
Chuck Norris can follow you into a revolving door and come out ahead of you.|3.86|116|j
Chuck Norris� house has no doors, only walls that he walks through.|3.85|186|j
Chuck Norris doesn't need a miracle in order to split the ocean. He just walks in and the water gets out of the way.|3.85|142|j
Chuck Norris can burn fire.|3.84|266|j
Chuck Norris played Russian Roulette with a fully loaded gun and won.|3.84|246|j
Chuck Norris doesn't bowl strikes, he just knocks down one pin and the other nine faint.|3.84|181|j
Chuck Norris didn't sell his soul to the devil, the devil sold his soul to Chuck Norris|3.84|121|j
Newton's Third Law is wrong: Although it states that for each action, there is an equal and opposite reaction, there is no force equal in reaction to a Chuck Norris roundhouse kick.|3.83|266|j
Chuck Norris� hand is the only hand that can beat a Royal Flush.|3.83|165|j
People say the T-Rex was the most deadly beast to ever roam the earth. Obviously, they forgot The Chuck Norrisaurus.|3.83|121|j
Chuck Norris once stuck a fork in a toaster and the toaster got electrecuted.|3.83|118|j
Chuck Norris abducts aliens.|3.83|114|j
Chuck Norris doesn't read books. He stares them down until he gets the information he wants.|3.82|712|j
Norrisaphobia- The extreme fear of being roundhouse kicked in the face.|3.82|228|j
Champions are the breakfast of Chuck Norris.|3.82|179|j
There is no such thing as a Chuck Norris joke. No one Jokes about Chuck Norris.|3.82|130|j
When you put Chuck Norris in your GPS, he's always right behind you.|3.81|606|j
Chuck Norris doesn't churn butter. He roundhouse kicks the cows and the butter comes straight out.|3.81|272|j
Chuck Norris once bowled a 300. Without a ball. He wasn't even in a bowling alley.|3.81|237|j
When Chuck Norris throws a boomerang, it doesn't come back.|3.8|212|j
All men are created equal.....except for Chuck Norris, he's better|3.8|110|j
Global warming exists because Chuck Norris doesn't like it cold.|3.78|125|j
Chuck Norris uses hot sauce as eye drops.|3.77|132|j
The only reason aliens don't invade is because they're waiting for Chuck Norris to die.|3.77|123|j
The shortest distance between two points is whatever route Chuck takes.|3.76|191|j
Chuck Norris doesnt sleep. He waits.|3.74|772|j
"If you ask Chuck Norris what time it is, he always says, ""Two seconds 'til."" After you ask, ""Two seconds 'til what?"" he roundhouse kicks you in the face."|3.74|322|j
Chuck Norris can sneeze with his eyes open.|3.73|272|j
Chuck Norris's GPS never tells him to turn around.|3.73|208|j
In 1991, Chuck Norris shot a 14 on an 18 hole golf course, falling short of his personal best by 2 strokes.|3.73|164|j
Chuck Norris can squeeze blood from a stone.|3.73|105|j
Chuck Norris doesn't look in the closet for the boogey man. The boogey man looks in the closet for Chuck Norris.|3.72|128|j
There is no 'ctrl' button on Chuck Norris' computer. Chuck Norris is always in control.|3.71|951|j
Apple pays Chuck Norris 99 cents every time he listens to a song.|3.71|316|j
Chuck Norris came before the chicken and the egg|3.71|112|j
Chuck Norris does not submit to homeland security, he IS homeland security.|3.69|484|j
In the Bible, Jesus turned water into wine. But then Chuck Norris turned that wine into beer.|3.69|252|j
Chuck Norris can lead a horse to water AND make it drink.|3.69|135|j
Chuck Norris can run over a tank with his bicycle.|3.68|209|j
Chuck Norris audits the IRS.|3.68|158|j
When a tsunami happens, it�s because Chuck Norris has been swimming laps in the ocean.|3.68|108|j
People get hit by cars. Cars get hit by Chuck Norris.|3.67|101|j
Chuck Norris went around the world...by standing still.|3.66|498|j
Chuck Norris can slap the headless horsemen.|3.65|410|j
Chuck Norris once traveled the world in 50 days, 49 of which he was preparing for his trip.|3.63|190|j
Chuck Norris burns his bridges BEFORE he crosses them.|3.63|102|j
Chuck Norris can sneeze with his eyes open and lick his elbow. At the same time.|3.62|527|j
Chuck Norris doesn't make chocolate milk, he tells his cow to.|3.62|185|j
"Chuck Norris walked into a bar. The bar said ""ouch""."|3.62|136|j
Chuck Norris once sold ebay, to ebay, on ebay.|3.58|163|j
Chuck Norris clips his toenails with a chain saw.|3.58|113|j
Chuck Norris' baby rattle is still shaking.|3.54|302|j
If you make a list of 10 things Chuck Norris cannot do, he will appear at your house and perform them all. Your life may be forfeit.|3.52|500|j
Chuck Norris. Enough said.|3.52|244|j
Chuck Norris can kick start a bicycle...|3.42|369|j
Chuch Norris stood next to a bear and was told he had to leave because the bear was scared.|3.41|495|j
When life gives Chuck Norris lemons, Chuck Norris makes apple sauce.|3.37|273|j
Chuck Norris doesn't walk home.......Home walks to him!!|3.34|342|j
Chuck Norris' hands are protected under the 2nd Amendment.|3.33|225|j
Chuck Norris once felt fear. Then he roundhouse kicked the mirror.|3.31|249|j
When Chuck Norris enters the restaraunt, he doesn't order. He demands.|3.3|346|j
Fool me once, shame on you. Fool Chuck Norris once and he will roundhouse you in the face.|3.27|237|j
When Chuck Norris flexes his biceps, the global atmospheric pressure abruptly rises.|3.26|84|j
Q:Why did Chuck Norris cross the road? A:In pursuit of all those who'd fled across it.|3.26|61|j
Chuck Norris is the only person to go to the running of the bulls ....and WALK!!|3.26|57|j
A blanket uses Chuck Norris to stay warm.|3.26|47|j
Chuck Norris can knit the softest sweater using electrical pylons.|3.25|191|j
Chuck Norris has a vacation home on the sun.|3.24|428|j
Chuck Norris invented Kentucky Fried Chicken's famous secret recipe, with eleven herbs and spices. But nobody ever mentions the twelfth ingredient: Fear.|3.24|275|j
Chuck Norris invented his own type of karate. It's called Chuck-Will-Kill.|3.24|155|j
Chuck Norris did a round house kick so hard he went back in time to stop the bullet that killed President Kennedy, but in amazement Kennedy's head exploded.|3.24|80|j
Chuck Norris WAS the big bang.|3.24|55|j
Arnold Schwarzenegger is actually Chuck Norris' pinky finger.|3.24|46|j
James Cameron wanted Chuck Norris to play the Terminator. However, upon reflection, he realized that would have turned his movie into a documentary, so he went with Arnold Schwarzenegger.|3.24|42|j
Chuck Norris can taste lies.|3.24|41|j
"According to the Encyclopedia Brittanica, the Native American ""Trail of Tears"" has been redefined as anywhere that Chuck Norris walks."|3.22|180|j
Chuck Norris uses staples as hair gel.|3.22|94|j
Chuck Norris doesn't have a chin. he just has another fist.|3.22|87|j
It is believed dinosaurs are extinct due to a giant meteor. That's true if you want to call Chuck Norris a giant meteor.|3.22|50|j
Jedis use the force. The force uses Chuck Norris.|3.22|50|j
Chuck Norris' roundhouse kicks don't really kill people. They wipe out their entire existence from the space-time continuum.|3.22|49|j
Chuck Norris said no more of these jokes about him...... or else|3.22|49|j
"If you Google search ""Chuck Norris getting his *** kicked"" you will generate zero results. It just doesn't happen."|3.22|46|j
Some kids drink milk straight from the carton. Chuck Norris drinks milk straight from the cow.|3.21|94|j
Mosquitos dont bite Chuck Norris, Chuck Norris bites mosquitos and makes them itchy.|3.21|82|j
Cyclones are the after effect left by the vortex of a Chuck Norris roundhouse kick. If you ever see a double cyclone, Chuck Norris is obviously giving someone a royal ass kicking!|3.21|81|j
Chuck Norris once punched a man back into a monkey. Therefore proving evolution at the same time.|3.21|73|j
Chuck Norris' beard can roundhouse kick you.|3.21|57|j
Chuck Norris CAN teach old dogs new tricks.|3.21|48|j
The reason nobody is aloud to go to area 51 is simply because Chuck Norris doesn't want any body in or around his house.|3.21|47|j
Chuck Norris didn't go to college, he just showed up and was given a degree.|3.21|42|j
Chuck Norris doesn't shower, he only takes blood baths.|3.19|223|j
I once watched Chuck Norris eat 2lb of wheat.. a pinch of salt... a tea spoon of sugar then shit out a loaf of bread (sliced).|3.19|120|j
Chuck Norris once hit a dead man and brought him back to life.|3.19|69|j
If Hurricane Chuck Norris ever came, earth would Explode and everything would die. Expect Chuck Norris.|3.19|48|j
Chuck Norris can breathe in space.|3.19|42|j
The reason Mars is extinct is because Chuck Norris was there.|3.17|65|j
Chuck Norris makes blood bleed.|3.17|63|j
For acne problems you can use proactiv or have Chuck Norris round house kick it off your face.|3.17|60|j
Chuck Norris was born on Febuary 30th. Thats why Febuary 30th doesn't come around to often.|3.17|47|j
What do you find when you go to the end of the universe? Chuck Norris|3.17|41|j
Chuck Norris wasnt created. He made himself.|3.16|82|j
What happened to all the dinosaurs? Chuck Norris|3.16|63|j
Chuck Norris biggest idol is his mirror, because it dares to duplicate him.|3.16|43|j
Chuck Norris doesn't run with the bulls. The bulls run with Chuck Norris.|3.15|162|j
Chuck Norris can control the heat of the sun.|3.15|53|j
There was finally a WMD in Iraq when Chuck Norris visited the troops.|3.15|48|j
When Chuck Norris crosses the road, no one asks why Chuck Norris crossed the road.|3.15|47|j
Chuck Norris can find factors for prime numbers.|3.15|41|j
Only thing that scares Chuck Norris is a picture of Chuck Norris. |3.14|69|j
Chuck Norris dared the red sea to stay whole.|3.14|51|j
Chuck Norris doesn't smell fear. Fear smells Chuck Norris.|3.14|51|j
On the day God created Adam and Eve, Chuck Norris stopped by with a tray of cookies.|3.13|500|j
When Jesus made water into wine, Chuck made wine into beer.|3.13|55|j
Chuck Norris doesn't cut his grass, He threatens it to grow!|3.13|52|j
If Neo met Chuck Norris in Matrix I, there would not have been a Matrix2.|3.13|45|j
Chuck Norris has 2 birthdays in a year.|3.13|45|j
Knock knock. Who's there? Chuck Norris. Chuck Norris who? You need a new door.|3.12|102|j
The sun only rises in the morning because it fears Chuck Norrises wrath.|3.12|77|j
Chuck Norris doesn't dodge the rain, the rain dodges Chuck Norris.|3.12|60|j
Chuck Norris makes deodorant sweat.|3.12|58|j
Chuck Norris can turbocharge an electric car.|3.12|49|j
Chuck Norris could set every record, but he feels it would be to easy.|3.12|43|j
Chuck Norris doesn't lie. He simply changes the truth.|3.12|41|j
Chuck Norris can skip the copyright notices on his DVDs.|3.11|333|j
When you're Chuck Norris, anything + anything is equal to 1. One roundhouse kick to the face.|3.11|138|j
Once, while Chuck Norris was tanning, there was a lunar eclipse. That's why the moon has dints in it.|3.11|65|j
When Chuck Norris gets a syntax error on a calculator he says what? Then the answer appears on the screen|3.11|47|j
If Superman and the Flash raced to the end of the universe who would win? Chuck Norris.|3.11|47|j
Chuck Norris was old enough to vote when he was born.|3.11|46|j
On the seventh day, God rested. But Chuck Norris worked out.|3.11|46|j
Chuck Norris does not throw grenades, he Chucks them.|3.11|45|j
After Chuck Norris visited China, the great wall was just okay.|3.11|44|j
Our galaxy exists only because Chuck Norris doesn't cry over spilled milk.|3.1|70|j
Chuck Norris' chest hair is actually titanium fibers with a tensile strength of one million newtons.|3.1|68|j
Chuck Norris knows your reading this|3.1|67|j
Chuck Norris is a lover not a fighter but don't get fooled he is also a fighter.|3.1|50|j
Chuck Norris can beat a fish in a staring contest.|3.1|42|j
A Chuck Norris a day keeps the enemies away.|3.09|74|j
